"id","group","choice","opchoice","payoff","trial","age","gender"
101,1,0,0,50,1,24,2
101,1,0,1,0,2,24,2
101,1,1,1,50,3,24,2
101,1,1,0,0,4,24,2
101,1,1,0,0,5,24,2
101,1,0,0,50,6,24,2
101,1,0,0,50,7,24,2
101,1,0,1,0,8,24,2
101,1,0,1,0,9,24,2
101,1,0,1,0,10,24,2
101,1,1,1,50,11,24,2
101,1,1,0,0,12,24,2
101,1,0,0,50,13,24,2
101,1,0,1,0,14,24,2
101,1,1,1,50,15,24,2
101,1,0,0,50,16,24,2
101,1,1,1,50,17,24,2
101,1,1,0,0,18,24,2
101,1,0,0,50,19,24,2
101,1,0,0,50,20,24,2
101,1,1,1,50,21,24,2
101,1,0,0,50,22,24,2
101,1,0,0,50,23,24,2
101,1,1,0,0,24,24,2
101,1,0,0,50,25,24,2
101,1,0,1,0,26,24,2
101,1,0,1,0,27,24,2
101,1,1,0,0,28,24,2
101,1,1,1,50,29,24,2
101,1,0,0,50,30,24,2
101,1,0,0,50,31,24,2
101,1,1,0,0,32,24,2
101,1,0,1,0,33,24,2
101,1,0,1,0,34,24,2
101,1,1,0,0,35,24,2
101,1,0,0,50,36,24,2
101,1,0,0,50,37,24,2
101,1,0,1,0,38,24,2
101,1,1,1,50,39,24,2
101,1,1,0,0,40,24,2
101,1,0,0,50,41,24,2
101,1,0,1,0,42,24,2
101,1,0,1,0,43,24,2
101,1,1,0,0,44,24,2
101,1,1,0,0,45,24,2
101,1,1,0,0,46,24,2
101,1,0,1,0,47,24,2
101,1,1,0,0,48,24,2
101,1,0,0,50,49,24,2
101,1,0,0,50,50,24,2
101,1,1,1,50,51,24,2
101,1,1,0,0,52,24,2
101,1,0,0,50,53,24,2
101,1,0,1,0,54,24,2
101,1,1,1,50,55,24,2
101,1,0,1,0,56,24,2
101,1,1,0,0,57,24,2
101,1,1,0,0,58,24,2
101,1,0,0,50,59,24,2
101,1,0,0,50,60,24,2
101,1,1,1,50,61,24,2
101,1,1,0,0,62,24,2
101,1,0,0,50,63,24,2
101,1,1,0,0,64,24,2
101,1,0,1,0,65,24,2
101,1,0,0,50,66,24,2
101,1,0,0,50,67,24,2
101,1,1,0,0,68,24,2
101,1,1,0,0,69,24,2
101,1,0,0,50,70,24,2
101,1,0,0,50,71,24,2
101,1,1,1,50,72,24,2
101,1,0,0,50,73,24,2
101,1,1,0,0,74,24,2
101,1,0,1,0,75,24,2
101,1,0,0,50,76,24,2
101,1,0,1,0,77,24,2
101,1,0,1,0,78,24,2
101,1,0,0,50,79,24,2
101,1,1,1,50,80,24,2
101,1,1,0,0,81,24,2
101,1,0,0,50,82,24,2
101,1,0,0,50,83,24,2
101,1,1,1,50,84,24,2
101,1,0,1,0,85,24,2
101,1,0,0,50,86,24,2
101,1,0,1,0,87,24,2
101,1,0,0,50,88,24,2
101,1,1,0,0,89,24,2
101,1,0,0,50,90,24,2
101,1,0,0,50,91,24,2
101,1,1,1,50,92,24,2
101,1,0,0,50,93,24,2
101,1,0,0,50,94,24,2
101,1,1,0,0,95,24,2
101,1,1,0,0,96,24,2
101,1,1,0,0,97,24,2
101,1,0,0,50,98,24,2
101,1,1,1,50,99,24,2
101,1,0,0,50,100,24,2
101,1,0,0,50,101,24,2
101,1,1,0,0,102,24,2
101,1,1,0,0,103,24,2
101,1,0,1,0,104,24,2
101,1,0,0,50,105,24,2
101,1,1,1,50,106,24,2
101,1,0,0,50,107,24,2
101,1,0,1,0,108,24,2
101,1,0,0,50,109,24,2
101,1,1,1,50,110,24,2
101,1,0,0,50,111,24,2
101,1,0,1,0,112,24,2
101,1,0,0,50,113,24,2
101,1,1,1,50,114,24,2
101,1,0,1,0,115,24,2
101,1,0,1,0,116,24,2
101,1,1,0,0,117,24,2
101,1,1,0,0,118,24,2
101,1,0,0,50,119,24,2
101,1,0,1,0,120,24,2
101,1,0,0,50,121,24,2
101,1,1,1,50,122,24,2
101,1,1,0,0,123,24,2
101,1,0,0,50,124,24,2
101,1,1,0,0,125,24,2
101,1,0,0,50,126,24,2
101,1,0,1,0,127,24,2
101,1,0,1,0,128,24,2
101,1,0,1,0,129,24,2
101,1,0,0,50,130,24,2
101,1,1,1,50,131,24,2
101,1,1,0,0,132,24,2
101,1,0,0,50,133,24,2
101,1,1,0,0,134,24,2
101,1,0,0,50,135,24,2
101,1,1,0,0,136,24,2
101,1,0,0,50,137,24,2
101,1,0,0,50,138,24,2
101,1,0,0,50,139,24,2
101,1,1,0,0,140,24,2
101,1,0,0,50,141,24,2
101,1,0,0,50,142,24,2
101,1,1,1,50,143,24,2
101,1,0,1,0,144,24,2
101,1,0,0,50,145,24,2
101,1,1,1,50,146,24,2
101,1,0,0,50,147,24,2
101,1,0,1,0,148,24,2
101,1,0,0,50,149,24,2
101,1,1,0,0,150,24,2
102,1,1,0,0,1,20,2
102,1,1,0,0,2,20,2
102,1,1,0,0,3,20,2
102,1,0,0,50,4,20,2
102,1,0,0,50,5,20,2
102,1,0,1,0,6,20,2
102,1,0,0,50,7,20,2
102,1,1,1,50,8,20,2
102,1,1,0,0,9,20,2
102,1,0,0,50,10,20,2
102,1,1,0,0,11,20,2
102,1,0,0,50,12,20,2
102,1,0,0,50,13,20,2
102,1,1,1,50,14,20,2
102,1,0,0,50,15,20,2
102,1,1,0,0,16,20,2
102,1,0,0,50,17,20,2
102,1,0,0,50,18,20,2
102,1,0,0,50,19,20,2
102,1,0,1,0,20,20,2
102,1,0,1,0,21,20,2
102,1,1,1,50,22,20,2
102,1,0,0,50,23,20,2
102,1,1,1,50,24,20,2
102,1,1,0,0,25,20,2
102,1,0,0,50,26,20,2
102,1,1,0,0,27,20,2
102,1,0,0,50,28,20,2
102,1,0,1,0,29,20,2
102,1,0,1,0,30,20,2
102,1,0,1,0,31,20,2
102,1,0,1,0,32,20,2
102,1,1,1,50,33,20,2
102,1,0,0,50,34,20,2
102,1,0,0,50,35,20,2
102,1,0,1,0,36,20,2
102,1,1,0,0,37,20,2
102,1,0,1,0,38,20,2
102,1,1,0,0,39,20,2
102,1,1,0,0,40,20,2
102,1,1,0,0,41,20,2
102,1,0,0,50,42,20,2
102,1,0,0,50,43,20,2
102,1,0,0,50,44,20,2
